,date,value
575,2019-12-24,11257505.131500008
576,2019-12-25,11257505.131500008
577,2019-12-26,11268611.305900007
578,2019-12-27,11278620.392100006
579,2019-12-30,11285013.173400007
580,2020-01-06,11285013.173400007
581,2020-01-07,11283124.173400007
582,2020-01-08,11303994.816000007
583,2020-01-09,11367531.816000007
584,2020-01-10,11367241.988700008
585,2020-01-14,11410389.110500008
586,2020-01-15,11423199.629300008
587,2020-01-16,11426951.203400008
588,2020-01-17,11451982.203400008
589,2020-01-20,11489464.214900007
590,2020-01-21,11489464.214900007
591,2020-01-22,11471537.083100008
592,2020-01-23,11470544.106400007
593,2020-01-24,11438517.336300008
594,2020-01-27,11438517.336300008
595,2020-01-28,11436478.747100009
596,2020-01-29,11336439.616500009
597,2020-01-30,11336439.616500009
598,2020-01-31,11299463.79400001
599,2020-02-03,11301173.750600008
600,2020-02-04,11341875.709400008
601,2020-02-05,11346663.662800008
602,2020-02-06,11482035.662800008
603,2020-02-07,11530430.345200008
604,2020-02-10,11512230.445800008
605,2020-02-12,11566425.193000007
606,2020-02-13,11566425.193000007
607,2020-02-14,11601482.593600009
608,2020-02-17,11602841.859500008
609,2020-02-18,11602841.859500008
610,2020-02-19,11564925.987900008
611,2020-02-20,11564925.987900008
612,2020-02-21,11558823.275900008
613,2020-02-25,11558823.275900008
614,2020-02-26,11558823.275900008
615,2020-02-27,11558823.275900008
616,2020-02-28,11558823.275900008
617,2020-03-02,11558823.275900008
618,2020-03-03,11558823.275900008
619,2020-03-04,11558823.275900008
620,2020-03-05,11479506.222200008
621,2020-03-06,11479506.222200008
622,2020-03-09,11479506.222200008
623,2020-03-10,11371218.198100008
624,2020-03-11,11373687.012900008
625,2020-03-12,11373672.930800008
626,2020-03-13,11373672.930800008
627,2020-03-16,11373672.930800008
628,2020-03-17,11373672.930800008
629,2020-03-18,11206244.813300008
630,2020-03-19,11206244.813300008
631,2020-03-23,11123387.940700008
632,2020-03-24,11028856.968900008
633,2020-03-25,11074933.968900008
634,2020-03-26,11074833.655700007
635,2020-03-27,11055316.655700007
636,2020-03-30,11055190.016000008
637,2020-03-31,11055190.016000008
638,2020-04-01,11055190.016000008
639,2020-04-02,10914560.841200007
640,2020-04-03,10862678.723600008
641,2020-04-06,10707354.461700007
642,2020-04-07,10803596.514100008
643,2020-04-08,10792634.450400008
644,2020-04-09,10792599.847300008
645,2020-04-10,10788541.847300008
646,2020-04-13,10788512.496200008
647,2020-04-14,10784904.338100009
648,2020-04-15,10788898.975400008
649,2020-04-16,10778193.416300008
650,2020-04-17,10784871.166500008
651,2020-04-20,10687127.920900008
652,2020-04-21,10688034.171000008
653,2020-04-22,10691070.189000009
654,2020-04-23,10697627.189000009
655,2020-04-24,10705640.916200008
656,2020-04-27,10646569.782500008
657,2020-04-28,10646569.782500008
658,2020-04-30,10702472.033400008
659,2020-05-01,10706423.892900009
660,2020-05-07,10707620.378300007
661,2020-05-08,10741427.061200008
662,2020-05-11,10735409.659800008
663,2020-05-12,10740258.625100007
664,2020-05-13,10768988.848000009
665,2020-05-14,10768988.848000009
666,2020-05-15,10662649.927300008
667,2020-05-18,10655519.474500008
668,2020-05-19,10752383.403000008
669,2020-05-20,10789361.555400008
670,2020-05-21,10797534.397300009
671,2020-05-22,10797534.397300009
672,2020-05-25,10809357.505700007
673,2020-05-26,10826439.505700007
674,2020-05-27,10860493.273000007
675,2020-05-28,10846959.624400008
676,2020-05-29,10858194.771000009
677,2020-06-01,10934226.272100009
678,2020-06-02,10940571.82560001
679,2020-06-03,10998701.45920001
680,2020-06-04,11027329.86170001
681,2020-06-05,11049108.569300009
682,2020-06-08,11082251.837600008
683,2020-06-09,11082251.837600008
684,2020-06-10,11077688.895000009
685,2020-06-11,11077688.895000009
686,2020-06-12,11077688.895000009
687,2020-06-15,11077688.895000009
688,2020-06-16,11003583.895000009
689,2020-06-17,11009908.277300008
690,2020-06-18,11019373.059900008
691,2020-06-19,11033447.34430001
692,2020-06-22,11036411.713000009
693,2020-06-23,11035158.927800009
694,2020-06-24,11035158.927800009
695,2020-06-25,11035158.927800009
696,2020-06-26,11030452.231100008
697,2020-06-29,11030429.86740001
698,2020-06-30,10982794.18420001
699,2020-07-01,10982794.18420001
700,2020-07-02,10995432.606800009
701,2020-07-03,11026249.883200008
702,2020-07-06,11152076.883200008
703,2020-07-07,11220029.15020001
704,2020-07-08,11226655.836300008
705,2020-07-09,11249250.969100008
706,2020-07-10,11249250.969100008
707,2020-07-13,11246811.992900008
708,2020-07-14,11227398.248700008
709,2020-07-15,11242661.691200009
710,2020-07-16,11217533.995300008
711,2020-07-17,11189078.82320001
712,2020-07-20,11195741.752100008
713,2020-07-21,11215905.26220001
714,2020-07-22,11215905.26220001
715,2020-07-27,11239613.841300009
716,2020-07-28,11248687.739400009
717,2020-07-29,11248687.739400009
718,2020-07-30,11248687.739400009
719,2020-07-31,11248687.739400009
720,2020-08-03,11211560.24460001
721,2020-08-04,11091534.91430001
722,2020-08-05,11070166.46030001
723,2020-08-06,11102090.866500009
724,2020-08-07,11091971.858100008
725,2020-08-11,11037013.984900009
726,2020-08-12,11057654.282300008
727,2020-08-13,11112111.182300009
728,2020-08-14,11117437.546500009
729,2020-08-17,11112726.23150001
730,2020-08-18,11112726.23150001
731,2020-08-19,11112726.23150001
732,2020-08-20,11122880.58640001
733,2020-08-21,11100725.11280001
734,2020-08-24,11082327.227700008
735,2020-08-25,11092737.17090001
736,2020-08-26,11105016.46810001
737,2020-08-27,11138092.42070001
738,2020-08-28,11138092.42070001
739,2020-08-31,11138092.42070001
740,2020-09-01,11138092.42070001
741,2020-09-02,11152688.507100008
742,2020-09-03,11153827.707100008
743,2020-09-04,11153794.94090001
744,2020-09-07,11163348.076900009
745,2020-09-08,11185326.21600001
746,2020-09-09,11185326.21600001
747,2020-09-10,11182994.266000008
748,2020-09-11,11175297.060600009
749,2020-09-14,11214090.82780001
750,2020-09-15,11216035.76330001
751,2020-09-16,11231489.169600008
752,2020-09-17,11234953.568500008
753,2020-09-18,11222483.917000009
754,2020-09-23,11328698.689000009
755,2020-09-24,11328683.43190001
756,2020-09-25,11336790.374500008
757,2020-09-28,11326268.488300009
758,2020-09-29,11355769.375600008
759,2020-09-30,11355769.375600008
760,2020-10-02,11353331.375600008
761,2020-10-05,11347671.389500009
762,2020-10-06,11372069.727400009
763,2020-10-07,11383492.22580001
764,2020-10-08,11390277.87480001
765,2020-10-09,11398925.27630001
766,2020-10-12,11401437.587100009
767,2020-10-13,11412823.32790001
768,2020-10-14,11412802.641900009
769,2020-10-15,11412802.641900009
770,2020-10-16,11412802.641900009
771,2020-10-19,11381020.641900009
772,2020-10-20,11380996.410000008
773,2020-10-21,11387533.508600008
774,2020-10-22,11387533.508600008
775,2020-10-23,11359713.755700009
776,2020-10-26,11308515.799700009
777,2020-10-27,11308515.799700009
778,2020-10-28,11281396.88610001
779,2020-10-29,11281742.148200009
780,2020-10-30,11281742.148200009
781,2020-11-02,11205947.61040001
782,2020-11-04,11213996.426700009
783,2020-11-05,11253552.453300009
784,2020-11-06,11287131.805700008
785,2020-11-09,11278420.104100008
786,2020-11-10,11345733.954100009
787,2020-11-11,11373261.268100008
788,2020-11-12,11404599.762400009
789,2020-11-13,11404599.762400009
790,2020-11-16,11475928.525100008
791,2020-11-17,11452379.86830001
792,2020-11-18,11455695.380100008
793,2020-11-19,11464508.270000009
794,2020-11-20,11477867.898700008
795,2020-11-24,11518480.898700008
796,2020-11-25,11574654.02500001
797,2020-11-26,11607882.08530001
798,2020-11-27,11607882.08530001
799,2020-11-30,11607882.08530001
800,2020-12-01,11646937.31350001
801,2020-12-02,11688063.608000008
802,2020-12-03,11688063.608000008
803,2020-12-04,11711573.88610001
804,2020-12-07,11711573.88610001
805,2020-12-08,11711573.88610001
806,2020-12-09,11711573.88610001
807,2020-12-10,11721289.548400009
808,2020-12-11,11729917.731000008
809,2020-12-14,11729917.731000008
810,2020-12-15,11745603.97600001
811,2020-12-16,11806214.739300009
812,2020-12-17,11809952.06250001
813,2020-12-18,11815887.629600009
814,2020-12-21,11815887.629600009
815,2020-12-22,11784164.11960001
816,2020-12-23,11784164.11960001
817,2020-12-24,11840952.562200008
818,2020-12-25,11812498.59750001
819,2020-12-28,11833406.908400008
820,2020-12-29,11872902.908400008
821,2020-12-30,11872670.440000009
822,2021-01-04,11922140.73540001
823,2021-01-05,11922126.063100008
824,2021-01-06,11935453.063100008
825,2021-01-07,11977961.351500008
826,2021-01-08,12099134.351500008
827,2021-01-12,12137215.566100009
828,2021-01-13,12143510.55140001
829,2021-01-14,12142286.635300009
830,2021-01-15,12142286.635300009
831,2021-01-18,12142179.077200009
832,2021-01-19,12236951.01540001
833,2021-01-20,12239695.813400008
834,2021-01-21,12218789.334900009
835,2021-01-22,12236011.50340001
836,2021-01-25,12256427.71720001
837,2021-01-26,12301000.09100001
838,2021-01-27,12312612.046900008
839,2021-01-28,12312595.587400008
840,2021-01-29,12312595.587400008
841,2021-02-01,12317224.00870001
842,2021-02-02,12372294.940600008
843,2021-02-03,12437029.919700008
844,2021-02-04,12439155.30360001
845,2021-02-05,12373974.810500009
846,2021-02-08,12372851.943700008
847,2021-02-09,12372851.943700008
848,2021-02-10,12399084.93210001
849,2021-02-12,12402516.767700009
850,2021-02-15,12443443.10400001
851,2021-02-16,12484582.616500009
852,2021-02-17,12484554.72350001
853,2021-02-18,12484554.72350001
854,2021-02-19,12484554.72350001
855,2021-02-22,12488998.113100009
856,2021-02-24,12547992.737000009
857,2021-02-25,12536720.44580001
858,2021-02-26,12536636.75340001
859,2021-03-01,12521506.579300009
860,2021-03-02,12522259.12170001
861,2021-03-03,12509367.58660001
862,2021-03-04,12422388.29810001
863,2021-03-05,12435854.64580001
864,2021-03-08,12435854.64580001
865,2021-03-09,12413287.414000008
866,2021-03-10,12387608.785300009
867,2021-03-11,12392174.34280001
868,2021-03-12,12329295.43270001
869,2021-03-15,12334937.41550001
870,2021-03-16,12403862.95480001
871,2021-03-17,12415680.629900008
872,2021-03-18,12461461.050600009
873,2021-03-19,12512245.116600009
874,2021-03-22,12512245.116600009
875,2021-03-23,12512245.116600009
876,2021-03-24,12512245.116600009
877,2021-03-25,12316791.325900009
878,2021-03-26,12350279.818300009
879,2021-03-29,12350256.142200008
880,2021-03-30,12376731.56370001
881,2021-03-31,12402552.379700009
882,2021-04-01,12444963.051200008
883,2021-04-02,12432092.216900008
884,2021-04-05,12435690.510400008
885,2021-04-06,12435690.510400008
886,2021-04-07,12460079.940600008
887,2021-04-08,12473789.080600008
888,2021-04-09,12475926.106900008
889,2021-04-12,12479535.974500008
890,2021-04-13,12479535.974500008
891,2021-04-14,12479535.974500008
892,2021-04-15,12524474.743800009
893,2021-04-16,12523467.520700008
